from_days,to_days,label,summary,development,feeding,sleep,heads_up
70,90,Weeks 11–13,Laughing out loud.,"Belly laughs, purposeful reaching and pushing up onto the forearms.",Nursing sessions settle to 15–20 minutes and bottles to around 5 oz.,Total sleep drops to about 14–16 hours and naps organise into three or four a day.,"A sleep regression around three or four months is a developmental leap, not a step backwards."
91,121,3 months,Rolling front-to-back may arrive.,"Rolls one way, bears weight on the legs when held, and studies {their} own hands.",Still milk only — solids come at around six months. Roughly 24–32 oz a day.,Two long naps plus a catnap. Some babies sleep through and plenty do not.,"Keep the sleep space flat, firm and empty. Rolling means never leaving {them} on a raised surface."
122,151,4 months,Sitting with support and grabbing everything.,Grabs and mouths anything in reach and rolls both directions for some.,"Milk only. Watch for readiness signs for solids: sitting up, head control, interest in food.",Naps consolidate and a bedtime routine starts to earn its keep.,Four-month check-up and immunisations. Teething can start any time from now.
152,182,5 months,"Sitting propped up, and very loud.","Squeals, blows raspberries and passes a toy from hand to hand.",Some families start solids at the end of this month on their doctor's advice.,Around 12–15 hours in total across the day with three naps.,Everything goes in the mouth now. Check the floor for anything smaller than a toilet-roll tube.
183,212,6 months,First tastes.,Sits without support for short spells and responds to {their} own name.,"Solids usually begin: iron-rich first foods alongside milk, which stays the main nutrition.",Three naps. Night wakings often return alongside new skills.,Six-month check-up. Ask about introducing allergens — early and regular is the current advice.
213,243,7 months,On the move — or trying hard to be.,"Rocks on hands and knees, gets into a sitting position, and transfers objects deliberately.",Two or three small solid meals a day and thicker textures.,About 11–14 hours including two or three naps.,Time to lower the crib mattress and look at the room from floor height.
244,273,8 months,"Crawling, cruising and separation anxiety.","Pulls to stand, crawls, and understands no. Wariness of strangers peaks.",Three meals plus milk. Finger foods build the pincer grasp.,Separation anxiety can disturb nights for a few weeks.,"Baby-proof properly now: outlets, stairs, cords and furniture that can tip."
274,303,9 months,"Pointing, waving and babbling with intent.","Says mama and dada without meaning them yet, waves, and plays peekaboo.",Three meals and two snacks. A cup can be introduced alongside.,"Usually two naps, morning and afternoon.","Nine-month check-up, usually with a developmental screening."
304,334,10 months,Cruising the furniture.,Cruises sideways along furniture and stands alone for a second or two.,Self-feeding gets messy. The mess is the practice.,One nap may start dropping for some. Most keep two until well after a year.,Shoes are not needed indoors — bare feet help balance.
335,364,11 months,Almost one.,First deliberate words and following a simple instruction paired with a gesture.,Whole cow's milk usually starts at 12 months. Check the timing with your pediatrician.,11–14 hours a day including naps.,Plan the one-year visit. Bloodwork for iron and lead is common at it.
365,425,12–13 months,"First steps, and a much smaller appetite.",Walking usually starts between 9 and 18 months and every part of that range is normal.,"Appetite drops sharply as growth slows. Offer, do not push.",Around 11–14 hours. Naps drop toward one by about 15 months.,Twelve-month check-up and immunisations. Bottles give way to a cup gradually.
426,486,14–15 months,"Words arrive, and so do opinions.","A handful of words, points to ask for things, and scribbles.",Picky eating starts. Keep offering rejected foods without any pressure.,The two-nap to one-nap transition usually lands here.,"Fifteen-month check-up. Tantrums are a communication gap, not defiance."
487,547,16–17 months,Climbing everything.,"Runs stiffly, climbs onto furniture, and follows one-step directions.",Three meals and two snacks on a predictable schedule beats grazing.,One afternoon nap of one to three hours.,Anchor bookcases and televisions to the wall.
548,608,18–19 months,Language takes off.,"Often 10–25 words, points to body parts, and starts to play pretend.",Family meals at the same table — the same food cut smaller.,One nap. Bedtime resistance is common.,The 18-month check-up includes an autism screening. Raise any speech concerns there.
609,669,20–21 months,Doing it self.,Two-word phrases start and so does insisting on doing things alone.,"Let {them} use a spoon and an open cup, badly, every day.",About 11–14 hours including the nap.,"Consistency beats reasoning at this age — short, calm, repeated limits."
670,730,22–23 months,Approaching two.,"Two-word sentences, kicks a ball, and copies absolutely everything you do.",Whole milk around 16 oz a day with water at meals.,Some start climbing out of the crib. A floor bed is worth considering.,The two-year check-up plots BMI for the first time. Potty interest may begin and there is no rush.
